"Date","SalePrice","DailySale","HouseRegion"
2022-01-01,928.68,110,"NorthSydney"
2022-01-02,1072.23,52,"NorthSydney"
2022-01-03,1015.71,197,"WestSydney"
2022-01-04,733.52,152,"CentralSydney"
2022-01-05,1094.04,150,"EastSydney"
2022-01-06,1102.41,187,"WestSydney"
2022-01-07,937.79,114,"SouthSydney"
2022-01-08,888.63,258,"CentralSydney"
2022-01-09,895.27,210,"SouthSydney"
2022-01-10,1115.28,139,"WestSydney"
2022-01-11,1101.27,101,"NorthSydney"
2022-01-12,980.41,157,"WestSydney"
2022-01-13,1123.83,253,"CentralSydney"
2022-01-14,1061.97,200,"WestSydney"
2022-01-15,1056.66,95,"EastSydney"
2022-01-16,1076.7,204,"WestSydney"
2022-01-17,962.99,293,"EastSydney"
2022-01-18,1123.53,103,"NorthSydney"
2022-01-19,1004.22,206,"EastSydney"
2022-01-20,797,93,"SouthSydney"
2022-01-21,1140.43,106,"EastSydney"
2022-01-22,1084.37,282,"WestSydney"
2022-01-23,1028.36,60,"NorthSydney"
2022-01-24,1100.58,187,"NorthSydney"
2022-01-25,895.87,129,"CentralSydney"
2022-01-26,1119.88,118,"WestSydney"
2022-01-27,1005.93,252,"WestSydney"
2022-01-28,1133.28,60,"SouthSydney"
2022-01-29,1041.28,146,"WestSydney"
2022-01-30,1088.55,68,"NorthSydney"
2022-01-31,1158.85,97,"EastSydney"
2022-02-01,1095.52,94,"CentralSydney"
2022-02-02,919.3,170,"NorthSydney"
2022-02-03,1006.42,275,"EastSydney"
2022-02-04,731.79,74,"CentralSydney"
2022-02-05,971.26,177,"NorthSydney"
2022-02-06,1165.9,158,"EastSydney"
2022-02-07,1083.7,152,"WestSydney"
2022-02-08,918.87,222,"WestSydney"
2022-02-09,1087.18,233,"CentralSydney"
2022-02-10,1129.91,289,"SouthSydney"
2022-02-11,1074.88,150,"EastSydney"
2022-02-12,1025.7,112,"CentralSydney"
2022-02-13,868.62,199,"CentralSydney"
2022-02-14,867.74,149,"CentralSydney"
2022-02-15,1116.37,198,"WestSydney"
2022-02-16,1124.15,236,"SouthSydney"
2022-02-17,993.75,105,"WestSydney"
2022-02-18,1092.44,233,"CentralSydney"
2022-02-19,1119.82,173,"WestSydney"
2022-02-20,835.01,131,"EastSydney"
2022-02-21,1129.76,119,"WestSydney"
2022-02-22,1057.1,150,"SouthSydney"
2022-02-23,884.13,146,"EastSydney"
2022-02-24,863.79,85,"CentralSydney"
2022-02-25,1071.03,85,"SouthSydney"
2022-02-26,1012.78,102,"CentralSydney"
2022-02-27,974.09,237,"WestSydney"
2022-02-28,986.69,249,"CentralSydney"
2022-03-01,1081.09,105,"NorthSydney"
2022-03-02,990.65,109,"WestSydney"
2022-03-03,970.25,176,"EastSydney"
2022-03-04,1019.06,137,"WestSydney"
2022-03-05,988.95,297,"CentralSydney"
2022-03-06,1004.82,170,"EastSydney"
2022-03-07,986.09,252,"CentralSydney"
2022-03-08,1146.88,269,"NorthSydney"
2022-03-09,1033.32,221,"CentralSydney"
2022-03-10,1022.45,109,"EastSydney"
2022-03-11,918.4,170,"WestSydney"
2022-03-12,1152.21,73,"NorthSydney"
2022-03-13,807.56,261,"CentralSydney"
2022-03-14,997.28,263,"SouthSydney"
2022-03-15,759.17,291,"EastSydney"
2022-03-16,1117.41,181,"WestSydney"
2022-03-17,1112.56,280,"CentralSydney"
2022-03-18,945.32,65,"CentralSydney"
2022-03-19,1054.31,111,"SouthSydney"
2022-03-20,1101.71,250,"WestSydney"
2022-03-21,1052.76,211,"WestSydney"
2022-03-22,901.97,250,"CentralSydney"
2022-03-23,835.11,50,"CentralSydney"
2022-03-24,1086.9,166,"SouthSydney"
2022-03-25,888.88,71,"EastSydney"
2022-03-26,1089.43,134,"CentralSydney"
2022-03-27,1095.63,250,"EastSydney"
2022-03-28,965.94,154,"EastSydney"
2022-03-29,1025.31,66,"EastSydney"
2022-03-30,1151.23,202,"NorthSydney"
2022-03-31,946.42,158,"NorthSydney"
2022-04-01,954.93,180,"NorthSydney"
2022-04-02,990.96,257,"WestSydney"
2022-04-03,1067.24,91,"SouthSydney"
2022-04-04,1159.54,257,"CentralSydney"
2022-04-05,853.73,81,"EastSydney"
2022-04-06,1145.31,282,"EastSydney"
2022-04-07,979.33,107,"CentralSydney"
2022-04-08,1051.37,141,"SouthSydney"
2022-04-09,1141.52,203,"CentralSydney"
2022-04-10,843.49,235,"EastSydney"
2022-04-11,1009.53,152,"NorthSydney"
2022-04-12,1068.33,52,"NorthSydney"
2022-04-13,1143.94,207,"NorthSydney"
2022-04-14,972.79,179,"EastSydney"
2022-04-15,1150.02,295,"SouthSydney"
2022-04-16,876.16,181,"CentralSydney"
2022-04-17,990.29,257,"NorthSydney"
2022-04-18,947.14,233,"CentralSydney"
2022-04-19,828.06,268,"NorthSydney"
2022-04-20,965.04,170,"CentralSydney"
2022-04-21,868.33,132,"NorthSydney"
2022-04-22,818.53,246,"NorthSydney"
2022-04-23,821.18,178,"WestSydney"
2022-04-24,1101.54,240,"WestSydney"
2022-04-25,658.9,185,"NorthSydney"
2022-04-26,1105.43,197,"SouthSydney"
2022-04-27,1068.68,260,"NorthSydney"
2022-04-28,711.03,192,"EastSydney"
2022-04-29,962.22,133,"CentralSydney"
2022-04-30,1015.83,265,"NorthSydney"
2022-05-01,1068.06,196,"SouthSydney"
2022-05-02,1025.28,204,"SouthSydney"
2022-05-03,1134.31,235,"NorthSydney"
2022-05-04,1095.8,250,"NorthSydney"
2022-05-05,972.76,181,"CentralSydney"
2022-05-06,1122.95,202,"SouthSydney"
2022-05-07,1008.17,195,"EastSydney"
2022-05-08,1077.24,167,"CentralSydney"
2022-05-09,996.25,280,"SouthSydney"
2022-05-10,949.5,255,"CentralSydney"
2022-05-11,1062.1,54,"WestSydney"
2022-05-12,912.77,200,"WestSydney"
2022-05-13,950.69,157,"WestSydney"
2022-05-14,861.16,189,"WestSydney"
2022-05-15,977.91,235,"SouthSydney"
2022-05-16,1046.76,258,"EastSydney"
2022-05-17,1117.43,155,"CentralSydney"
2022-05-18,1136.63,229,"CentralSydney"
2022-05-19,1148.15,143,"SouthSydney"
2022-05-20,1148.34,202,"EastSydney"
2022-05-21,784.29,222,"EastSydney"
2022-05-22,1037.49,228,"WestSydney"
2022-05-23,1071.79,207,"WestSydney"
2022-05-24,1058.32,252,"WestSydney"
2022-05-25,1125.69,184,"NorthSydney"
2022-05-26,885.74,264,"SouthSydney"
2022-05-27,865.58,64,"WestSydney"
2022-05-28,1150.91,299,"EastSydney"
2022-05-29,1081.94,51,"WestSydney"
2022-05-30,952.79,272,"WestSydney"
2022-05-31,1032.72,207,"SouthSydney"
2022-06-01,944.54,165,"WestSydney"
2022-06-02,1105.23,135,"CentralSydney"
2022-06-03,990.57,139,"SouthSydney"
2022-06-04,1120.76,75,"WestSydney"
2022-06-05,1153.67,255,"WestSydney"
2022-06-06,1054.17,239,"SouthSydney"
2022-06-07,1125,268,"CentralSydney"
2022-06-08,1043.53,269,"EastSydney"
2022-06-09,1133.74,272,"SouthSydney"
2022-06-10,979.74,201,"SouthSydney"
2022-06-11,560.31,181,"CentralSydney"
2022-06-12,890.55,277,"WestSydney"
2022-06-13,1016,103,"NorthSydney"
2022-06-14,1155.21,178,"NorthSydney"
2022-06-15,1117.55,156,"SouthSydney"
2022-06-16,977.37,270,"WestSydney"
2022-06-17,653.49,75,"NorthSydney"
2022-06-18,696.36,142,"WestSydney"
2022-06-19,1161.04,121,"WestSydney"
2022-06-20,920.69,174,"SouthSydney"
2022-06-21,1090.4,176,"CentralSydney"
2022-06-22,940.42,283,"SouthSydney"
2022-06-23,1133.47,269,"SouthSydney"
2022-06-24,1046.99,180,"EastSydney"
2022-06-25,843.63,95,"SouthSydney"
2022-06-26,1057.82,155,"SouthSydney"
2022-06-27,955.89,122,"EastSydney"
2022-06-28,940.58,261,"WestSydney"
2022-06-29,727.22,82,"WestSydney"
2022-06-30,911.51,118,"CentralSydney"
2022-07-01,1022.54,297,"CentralSydney"
2022-07-02,683.55,191,"CentralSydney"
2022-07-03,1078.05,76,"EastSydney"
2022-07-04,973.87,189,"SouthSydney"
2022-07-05,1098.29,199,"EastSydney"
2022-07-06,993.92,128,"EastSydney"
2022-07-07,1122.88,299,"SouthSydney"
2022-07-08,1121.79,203,"WestSydney"
2022-07-09,1091.49,148,"CentralSydney"
2022-07-10,989.79,240,"NorthSydney"
2022-07-11,934.14,81,"WestSydney"
2022-07-12,1036.85,183,"CentralSydney"
2022-07-13,1034.36,60,"CentralSydney"
2022-07-14,1118.26,87,"SouthSydney"
2022-07-15,1128.82,280,"SouthSydney"
2022-07-16,803.76,206,"CentralSydney"
2022-07-17,1125.27,285,"SouthSydney"
2022-07-18,1044.02,253,"EastSydney"
2022-07-19,1091.63,269,"NorthSydney"
2022-07-20,1121.65,161,"NorthSydney"
2022-07-21,1075.29,54,"NorthSydney"
2022-07-22,1039.93,288,"SouthSydney"
2022-07-23,901.34,218,"SouthSydney"
2022-07-24,911.31,208,"SouthSydney"
2022-07-25,917.15,165,"SouthSydney"
2022-07-26,995.32,231,"SouthSydney"
2022-07-27,1107.4,227,"CentralSydney"
2022-07-28,796.15,295,"WestSydney"
2022-07-29,1013.43,118,"EastSydney"
2022-07-30,1145.04,265,"WestSydney"
2022-07-31,950.84,269,"WestSydney"
2022-08-01,1042.75,210,"EastSydney"
2022-08-02,1053.64,168,"SouthSydney"
2022-08-03,801.23,150,"SouthSydney"
2022-08-04,920.87,149,"WestSydney"
