CustomerID,Age,Income,SpendingScore,Region,CampaignResponse
1,48,71873.22,40,South,No
2,32,49385.89,56,North,No
3,31,40866.85,83,East,No
4,20,95631.97,64,South,No
5,59,43596.15,39,West,No
6,60,62886.62,71,East,Yes
7,54,58107.59,11,South,No
8,31,39173.52,28,East,Yes
9,42,67048.53,59,East,No
10,43,74405.74,16,South,No
11,44,59922.88,85,West,Yes
12,22,46943.03,84,South,Yes
13,44,53056.81,48,West,No
14,45,31332.73,77,West,Yes
15,26,65547.24,30,South,No
16,46,53065.68,7,East,Yes
17,52,64829.34,44,North,No
18,25,55739.98,46,West,No
19,43,76377.85,34,North,Yes
20,24,62403.25,19,North,No
21,59,100622.52,51,West,Yes
22,26,64294.35,2,East,Yes
23,36,59512.35,77,North,No
24,53,45154.83,56,South,Yes
25,31,63177.15,64,East,No
26,34,45419.74,47,North,No
27,60,68238.36,28,South,No
28,56,44264.68,46,South,No
29,29,66737.01,79,East,No
30,32,54212.17,58,South,No
31,49,36447.97,40,West,Yes
32,59,78404.14,81,South,No
33,62,70000.42,32,East,Yes
34,24,42725.95,58,South,No
35,26,57588.17,46,West,No
36,58,45406.29,27,West,Yes
37,27,50843.08,55,West,Yes
38,40,67489.15,23,North,Yes
39,44,73190.46,54,East,No
40,24,73846.94,45,North,No
41,44,70397.01,13,East,Yes
42,49,57907.5,62,East,Yes
43,55,10339.82,55,South,Yes
44,42,68076.99,15,West,No
45,51,73387.29,56,East,No
46,46,67341.93,43,East,No
47,22,42054.72,45,South,Yes
48,25,66941.07,83,West,No
49,29,74575.55,72,East,Yes
50,30,37917.62,46,North,Yes
51,35,67934.47,52,South,Yes
52,50,96816.01,25,South,No
53,44,35259.82,8,North,Yes
54,42,71937.08,39,North,Yes
55,55,54880.6,2,East,Yes
56,38,38921.19,86,East,No
57,32,46155.59,99,East,No
58,58,60148.47,71,West,No
59,64,53867.1,82,South,Yes
60,43,39176.32,89,East,No
61,48,56031.07,54,East,No
62,33,45790.53,55,South,No
63,47,71092.82,28,East,No
64,23,73451.68,66,North,No
65,60,54809.99,25,East,Yes
66,25,33269.14,29,East,No
67,39,66974.13,71,East,Yes
68,39,30734.54,73,South,Yes
69,56,52258.3,18,South,No
70,48,67336.2,31,North,No
71,65,73530.37,37,North,Yes
72,34,69605.44,8,East,Yes
73,51,74268.13,71,South,No
74,21,51013.15,55,West,Yes
75,30,40039.58,14,West,No
76,22,51116.85,97,East,No
77,42,87015.76,56,East,No
78,39,75830.08,79,West,Yes
79,42,55621.19,85,North,No
80,49,47638.36,87,South,No
81,63,78243.75,80,East,Yes
82,42,63295.93,64,North,No
83,40,61124.99,63,East,Yes
84,52,27893.72,27,South,No
85,57,82064.58,3,South,Yes
86,65,47433.49,42,East,Yes
87,47,65932.65,36,North,No
88,29,73296.33,39,North,No
89,48,78015.64,18,West,No
90,63,79752.09,32,East,Yes
91,47,57104.39,41,West,No
92,52,68258.64,76,West,No
93,31,28668.41,27,West,No
94,46,59626.35,12,East,No
95,49,73326.86,3,South,No
96,24,54938.53,80,West,Yes
97,20,44539.33,48,East,Yes
98,40,66462.5,80,East,No
99,32,63133.61,8,East,No
100,38,36776.4,12,North,No
101,54,42392.97,13,West,Yes
102,25,77682.23,74,North,Yes
103,27,53710.36,75,East,Yes
104,59,32211.37,99,North,Yes
105,61,67288.9,62,North,Yes
106,51,52921.31,29,East,No
107,27,72701.08,20,South,No
108,39,73886.56,80,South,Yes
109,29,55187.54,73,North,No
110,37,40485.4,22,South,No
111,63,96893.52,74,West,Yes
112,34,71675.48,86,East,Yes
113,63,70348.21,53,North,Yes
114,52,34433.02,60,North,No
115,57,76580.58,93,North,No
116,63,55292.21,95,West,Yes
117,47,54799.61,66,North,Yes
118,32,75576.61,8,West,No
119,41,52326.53,82,North,No
120,40,75217.92,48,North,No
121,60,69175.49,39,South,Yes
122,24,48416.25,30,South,No
123,46,70213.73,25,South,Yes
124,32,56886.25,42,West,No
125,40,72561.4,93,East,No
126,43,55621.89,27,South,Yes
127,55,64809.02,57,West,No
128,63,39453.36,21,South,Yes
129,49,64368.44,20,South,No
130,24,80783.18,72,North,No
131,44,62535.68,32,South,No
132,59,76033.82,14,West,No
133,22,36211.66,6,East,Yes
134,23,54242.25,93,West,No
135,33,72972.52,57,North,Yes
136,41,68418.76,12,East,No
137,49,38402.44,56,East,No
138,38,44907.51,54,East,Yes
139,28,45894.67,82,North,No
140,53,60801.77,70,West,No
141,61,51390.82,57,East,Yes
142,63,63308.23,72,South,Yes
143,36,47482.26,75,West,Yes
144,42,58044.69,38,North,No
145,56,68509.94,29,East,Yes
146,43,78127,53,South,Yes
147,26,61908.29,26,South,Yes
148,24,45728.86,83,East,No
149,51,50062.28,41,East,Yes
150,65,65168.92,8,East,No
151,30,43802.19,95,North,No
152,36,63144.79,22,North,No
153,64,40456.21,41,West,No
154,56,54452.83,62,East,Yes
155,21,50355.94,63,East,Yes
156,18,76367.45,33,North,Yes
157,57,65048.92,14,East,No
158,47,55277.52,91,West,Yes
159,47,57313.92,60,West,Yes
160,42,60784.02,75,South,Yes
161,33,69163.22,91,East,Yes
162,41,55593.05,53,West,Yes
163,28,19804.26,37,East,No
164,65,41432.33,7,North,Yes
165,37,68648.53,85,North,No
166,57,77038.36,51,North,No
167,20,70412.13,21,North,Yes
168,46,64298.57,38,South,Yes
169,53,30028.99,21,South,No
170,61,77246.67,46,East,No
171,39,81537.91,24,East,No
172,59,52808.4,12,South,No
173,37,94336.6,8,North,Yes
174,28,14433.27,69,West,Yes
175,25,44347.11,29,West,No
176,63,63697.54,15,West,Yes
177,38,61050.97,97,North,Yes
178,62,37743.18,41,East,Yes
179,19,84475.91,40,South,Yes
180,60,49854.63,65,North,No
181,30,38043.63,91,West,Yes
182,63,59617.84,22,North,No
183,23,78268.7,55,South,No
184,25,47575.16,72,East,No
185,61,49228.11,40,North,No
186,49,59332.69,10,West,Yes
187,53,44072.28,63,South,No
188,62,56674.86,1,West,No
189,31,65918.87,21,West,No
190,33,73341.4,68,West,Yes
191,40,73030.76,86,North,Yes
192,50,49919.37,80,South,No
193,57,56481.37,14,East,No
194,57,73091.9,39,South,Yes
